=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:25.951] [R2] started
[22:43:27.687] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.689] [W4] wrote: "Race!"
[22:43:27.694] [W1] wrote: "Race!"
[22:43:27.701] [R3] read: "Race!"
[22:43:27.703] [R4] read: "Race!"
[22:43:27.705] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.707] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:27.716] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.721] [W5] wrote: "AB"
[22:43:27.722] [R2] read: "AB"
[22:43:27.725] [R1] read: "AB"
[22:43:27.727] [R3] read: "AB"
[22:43:27.738] [R4] read: "AB"
[22:43:27.742] [R2] read: "AB"
[22:43:27.744] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.749] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.752] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.752] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.755] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.756] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.767] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.768] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.770] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.772] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.774] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.777] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.779] [W3] wrote: "Race!"
[22:43:27.781] [R4] read: "Race!"
[22:43:27.786] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.788] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.796] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:27.804] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:27.805] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.805] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.821] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:27.823] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:27.825] [W8] wrote: "AB"
[22:43:27.830] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:27.835] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.836] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.836] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.838] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.839] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.851] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.859] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.861] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.862] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.863] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.867] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.869] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.879] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.884] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.887] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.887] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.891] [W4] wrote: "AB"
[22:43:27.899] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.901] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.910] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.910] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.916] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.919] [W5] wrote: "Test"
[22:43:27.924] [R2] read: "Test"
[22:43:27.926] [W1] wrote: "AB"
[22:43:27.933] [R5] read: "AB"
[22:43:27.934] [R4] read: "AB"
[22:43:27.935] [W6] wrote: "AB"
[22:43:27.937] [R3] read: "AB"
[22:43:27.943] [R1] read: "AB"
[22:43:27.955] [R2] read: "AB"
[22:43:27.955] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.964] [W2] wrote: "AB"
[22:43:27.965] [R5] read: "AB"
[22:43:27.965] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.973] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.978] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.983] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.986] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:27.987] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.988] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.988] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:27.989] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:27.990] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:27.992] [W7] wrote: "AB"
[22:43:27.999] [R5] read: "AB"
[22:43:28.002] [R3] read: "AB"
[22:43:28.016] [R1] read: "AB"
[22:43:28.019] [R2] read: "AB"
[22:43:28.023] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.024] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.037] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.043] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.047] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.048] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.049] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.052] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.053] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.058] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.060] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.066] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.071] [W8] wrote: "Test"
[22:43:28.077] [R4] read: "Test"
[22:43:28.081] [W3] wrote: "AB"
[22:43:28.081] [W4] wrote: "Test"
[22:43:28.096] [R3] read: "Test"
[22:43:28.099] [R1] read: "Test"
[22:43:28.099] [R2] read: "Test"
[22:43:28.101] [R4] read: "Test"
[22:43:28.105] [W5] wrote: "!"
[22:43:28.108] [W1] wrote: "Test"
[22:43:28.110] [W6] wrote: "Test"
[22:43:28.123] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.124] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.132] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.136] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:28.138] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.138] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.139] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.153] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.154] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.155] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.160] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.162] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.178] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.179] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.180] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.186] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.192] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.195] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.197] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.201] [W7] wrote: "Test"
[22:43:28.204] [R4] read: "Test"
[22:43:28.209] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.215] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.221] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:28.221] [W2] wrote: "Test"
[22:43:28.223] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.231] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.237] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.238] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.242] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.248] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.252] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.255] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.257] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.257] [W4] wrote: "!"
[22:43:28.259] [W3] wrote: "Test"
[22:43:28.264] [R2] read: "Test"
[22:43:28.268] [R5] read: "Test"
[22:43:28.269] [R3] read: "Test"
[22:43:28.277] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.284] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.287] [W1] wrote: "!"
[22:43:28.290] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.293] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.294] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:28.296] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:28.296] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:28.304] [W8] wrote: "!"
[22:43:28.318] [R3] read: "!"
[22:43:28.320] [R4] read: "!"
[22:43:28.327] [R5] read: "!"
[22:43:28.329] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.338] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:28.340] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:28.343] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:28.343] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.344] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.345] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.345] [W6] wrote: "!"
[22:43:28.346] [W5] wrote: "A"
[22:43:28.348] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.353] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:28.365] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.368] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.373] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.373] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.384] [W2] wrote: "!"
[22:43:28.384] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.388] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:28.392] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.394] [W5] wrote: "Hello World!"
[22:43:28.397] [R1] read: "Hello World!"
[22:43:28.398] [R4] read: "Hello World!"
[22:43:28.402] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.410] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.412] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.414] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.417] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.432] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.435] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:28.437] [W1] wrote: "A"
[22:43:28.438] [W7] wrote: "!"
[22:43:28.442] [R5] read: "!"
[22:43:28.444] [R2] read: "!"
[22:43:28.450] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.451] [W8] wrote: "A"
[22:43:28.451] [W4] wrote: "A"
[22:43:28.451] [R3] read: "A"
[22:43:28.458] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.462] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.465] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:28.467] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:28.484] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:28.487] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:28.489] [W3] wrote: "!"
[22:43:28.493] [R3] read: "!"
[22:43:28.494] [R2] read: "!"
[22:43:28.500] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:28.501] [W8] wrote: "Hello World!"
[22:43:28.507] [R1] read: "Hello World!"
[22:43:28.509] [R4] read: "Hello World!"
[22:43:28.515] [R5] read: "Hello World!"
[22:43:28.516] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.518] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:28.518] [W1] wrote: "Hello World!"
[22:43:28.519] [W4] wrote: "Hello World!"
[22:43:28.519] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:28.530] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:28.535] [W6] wrote: "A"
[22:43:28.535] [R1] read: "A"
[22:43:28.539] [W5] wrote: "X"
[22:43:28.540] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.547] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.548] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.551] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:28.555] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:28.560] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.567] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.568] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.575] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:28.578] [W6] wrote: "Hello World!"
[22:43:28.578] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.582] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.583] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.587] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.593] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:28.598] [W3] wrote: "A"
[22:43:28.598] [R1] read: "A"
[22:43:28.600] [R5] read: "A"
[22:43:28.604] [R2] read: "A"
[22:43:28.613] [W7] wrote: "A"
[22:43:28.617] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.620] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:28.626] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:28.628] [R5] read: "Operating systems manage hardware and software resources."
[22:43:28.634] [W2] wrote: "A"
[22:43:28.636] [R3] read: "A"
[22:43:28.636] [R2] read: "A"
[22:43:28.637] [R1] read: "A"
[22:43:28.643] [W7] wrote: "Hello World!"
[22:43:28.660] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:28.661] [W3] wrote: "Hello World!"
[22:43:28.662] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.671] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:28.673] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:28.674] [W8] wrote: "X"
[22:43:28.674] [R1] read: "X"
[22:43:28.677] [R5] read: "X"
[22:43:28.678] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.682] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:28.690] [W1] wrote: "X"
[22:43:28.692] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.700] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:28.705] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:28.709] [R4] read: "Operating systems manage hardware and software resources."
[22:43:28.714] [R3] read: "Operating systems manage hardware and software resources."
[22:43:28.716] [W4] wrote: "X"
[22:43:28.717] [W2] wrote: "Hello World!"
[22:43:28.720] [R2] read: "Hello World!"
[22:43:28.729] [R5] read: "Hello World!"
[22:43:28.735] [W6] wrote: "X"
[22:43:28.737] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.739] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.741] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.751] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.755] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:28.756] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:28.757] [R4] read: "Operating systems manage hardware and software resources."
[22:43:28.757] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.762] [W5] wrote: "Race!"
[22:43:28.765] [R2] read: "Race!"
[22:43:28.765] [R5] read: "Race!"
[22:43:28.774] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:28.783] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.785] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.788] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.790] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.790] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:28.791] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:28.802] [R1] read: "Operating systems manage hardware and software resources."
[22:43:28.803] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:28.809] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:28.809] [W3] wrote: "X"
[22:43:28.812] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.823] [W4] wrote: "Race!"
[22:43:28.829] [R2] read: "Race!"
[22:43:28.829] [R4] read: "Race!"
[22:43:28.831] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.833] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:28.837] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:28.840] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:28.848] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:28.848] [W7] wrote: "X"
[22:43:28.854] [W2] wrote: "X"
[22:43:28.854] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.855] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:28.861] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:28.867] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:28.876] [W1] wrote: "Race!"
[22:43:28.877] [R5] read: "Race!"
[22:43:28.883] [R2] read: "Race!"
[22:43:28.886] [W8] wrote: "Race!"
[22:43:28.889] [R3] read: "Race!"
[22:43:28.902] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.905] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.906] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:28.909] [W6] wrote: "Race!"
[22:43:28.912] [R4] read: "Race!"
[22:43:28.918] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.923] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:28.926] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:28.933] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:28.934] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.940] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:28.941] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:28.946] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:28.952] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:28.957] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.958] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:28.960] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:28.963] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:28.976] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:28.977] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.984] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:28.985] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:28.985] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:28.989] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:28.990] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.002] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.006] [W5] wrote: "AB"
[22:43:29.008] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:29.011] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:29.024] [W3] wrote: "Race!"
[22:43:29.024] [R3] read: "Race!"
[22:43:29.025] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.029] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.030] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.037] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.046] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:29.049] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:29.051] [W7] wrote: "Race!"
[22:43:29.052] [W4] wrote: "AB"
[22:43:29.055] [R5] read: "AB"
[22:43:29.058] [W2] wrote: "Race!"
[22:43:29.060] [R2] read: "Race!"
[22:43:29.061] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:29.067] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:29.075] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.075] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.080] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.091] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.092] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.094] [W8] wrote: "AB"
[22:43:29.101] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.105] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.115] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.116] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.118] [W1] wrote: "AB"
[22:43:29.119] [R4] read: "AB"
[22:43:29.119] [W5] wrote: "Test"
[22:43:29.121] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:29.130] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.133] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:29.146] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.147] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:29.150] [W6] wrote: "AB"
[22:43:29.151] [R5] read: "AB"
[22:43:29.154] [R3] read: "AB"
[22:43:29.157] [R4] read: "AB"
[22:43:29.164] [R1] read: "AB"
[22:43:29.173] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.174] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.191] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.192] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.197] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.199] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.200] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.202] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.207] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:29.208] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:29.209] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.212] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.214] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.220] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.221] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.225] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.230] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.242] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.246] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.253] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.257] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.261] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.266] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.275] [W4] wrote: "Test"
[22:43:29.281] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:29.284] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:29.285] [W3] wrote: "AB"
[22:43:29.286] [R5] read: "AB"
[22:43:29.293] [R4] read: "AB"
[22:43:29.294] [R1] read: "AB"
[22:43:29.298] [W1] wrote: "Test"
[22:43:29.302] [R2] read: "Test"
[22:43:29.304] [R3] read: "Test"
[22:43:29.309] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:29.312] [W2] wrote: "AB"
[22:43:29.315] [W8] wrote: "Test"
[22:43:29.321] [R1] read: "Test"
[22:43:29.325] [R2] read: "Test"
[22:43:29.327] [W6] wrote: "Test"
[22:43:29.327] [W7] wrote: "AB"
[22:43:29.328] [R3] read: "AB"
[22:43:29.336] [R5] read: "AB"
[22:43:29.337] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.339] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.344] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.356] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.356] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.360] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.367] [W5] wrote: "!"
[22:43:29.367] [R2] read: "!"
[22:43:29.378] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.379] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.382] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:29.384] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:29.387] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
